Neighborhood,Price,Score
Mission,212.18,9.556
West of Twin Peaks,201.74,9.624
Inner Richmond,230.97,9.661
Marina,321.35,9.902
Bayview,126.14,8.161
Visitacion Valley,126.89,9.0
Pacific Heights,331.81,9.885
Presidio Heights,551.16,9.667
South of Market,350.52,9.239
Glen Park,233.14,9.706
Potrero Hill,320.21,9.545
Castro/Upper Market,249.48,9.881
Twin Peaks,210.41,9.558
Bernal Heights,201.02,9.533
Chinatown,277.59,9.735
North Beach,322.16,9.752
Presidio,663.8,9.5
Nob Hill,239.01,9.768
Outer Sunset,164.77,9.445
Western Addition,278.36,9.754
Golden Gate Park,249.57,9.714
Ocean View,147.22,9.089
Seacliff,286.43,9.667
Haight Ashbury,235.15,9.756
Outer Mission,182.58,9.254
Downtown/Civic Center,210.35,9.049
Diamond Heights,201.52,9.812
Lakeshore,167.67,9.364
Russian Hill,362.28,9.834
Noe Valley,271.02,9.843
Inner Sunset,255.08,9.724
Treasure Island/YBI,93.12,9.533
Outer Richmond,203.57,9.49
Crocker Amazon,115.52,8.682
Excelsior,144.27,8.805
Parkside,231.16,9.421
Financial District,266.38,9.776
